Name,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Undergrad Population,% White,% Black,% Hispanic,% Asian,% American Indian,Average Cost,Average Faculty Salary,% Undergrads with Pell Grant,Completion Rate,% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Average Age of Entry,Median Family Income,Poverty Rate,Median Earnings 8 years After Entry
Pennsylvania State University-Main Campus,Public,Mid-Atlantic,Small City,0.542,27,1199,39460,0.7213,0.0427,0.0546,0.0546,0.0007,31625,9902,0.1768,0.8484,0.0272,7.7,21500,20.87999916,70439.5,6.789999962,43400
Pennsylvania State University-Penn State Abington,Public,Mid-Atlantic,Large Suburb,0.7774,21,942,3231,0.5073,0.1427,0.0947,0.1668,0.0031,19611,7591,0.4156,0.4803,0.1864,7.7,21500,20.87999916,70439.5,6.789999962,43400
Pennsylvania State University-Penn State Altoona,Public,Mid-Atlantic,Small City,0.8519,21,990,3779,0.7806,0.0849,0.0423,0.0315,0.0013,27591,7264,0.3329,0.688,0.0769,7.7,21500,20.87999916,70439.5,6.789999962,43400
Pennsylvania State University-Penn State Berks,Public,Mid-Atlantic,Large Suburb,0.8307,22,988,2573,0.7155,0.0956,0.103,0.0381,0.0012,25931,7806,0.3405,0.5652,0.1187,7.7,21500,20.87999916,70439.5,6.789999962,43400
Pennsylvania State University-Penn State Brandywine,Public,Mid-Atlantic,Large Suburb,0.7905,20,968,1327,0.6699,0.1424,0.0475,0.0852,0.0008,19297,7519,0.3403,0.441,0.1414,7.7,21500,20.87999916,70439.5,6.789999962,43400
Pennsylvania State University-Penn State Erie-Behrend College,Public,Mid-Atlantic,Mid-size Suburb,0.8408,22,1052,3797,0.8338,0.0403,0.0298,0.0261,0.0011,27759,8612,0.3156,0.6995,0.0918,7.7,21500,20.87999916,70439.5,6.789999962,43400
Pennsylvania State University-Penn State Harrisburg,Public,Mid-Atlantic,Large Suburb,0.7994,23,1027,3461,0.6253,0.1057,0.0641,0.0743,0.002,26651,9042,0.3456,0.6086,0.1993,7.7,21500,20.87999916,70439.5,6.789999962,43400
Pennsylvania State University-Penn State Worthington Scranton,Public,Mid-Atlantic,Large Suburb,0.8186,21,941,1089,0.8356,0.0285,0.0468,0.0478,0.0009,20183,7762,0.4652,0.4608,0.2428,7.7,21500,20.87999916,70439.5,6.789999962,43400
Pepperdine University,Private,Far West,Large Suburb,0.3734,,1235,3516,0.4249,0.068,0.1553,0.1399,0.0046,58772,11650,0.2076,0.8043,0.0873,2.2,25000,22.30999947,60331,6.900000095,52100
Philadelphia University,Private,Mid-Atlantic,Large City,0.6408,23,1062,2791,0.6034,0.1336,0.0688,0.0444,0.0007,46451,7818,0.3026,0.5827,0.1363,3.8,24750,20.47999954,81316.5,5.699999809,43600
Piedmont College,Private,Southeast,Distant Town,0.6118,22,1001,1281,0.7728,0.096,0.0351,0.0094,0.0055,32031,5734,0.5093,0.4611,0.2709,5.4,16703,25.78000069,49580.5,8.609999657,37000
Pittsburg State University,Public,Great Plains,Distant Town,0.7898,22,1010,6005,0.8098,0.0403,0.0463,0.0067,0.0157,15211,6987,0.4032,0.5015,0.1573,10.5,13377.5,21.85000038,48823,8.289999962,35300
Pitzer College,Private,Far West,Large Suburb,0.1451,,,1081,0.4949,0.0472,0.1508,0.0629,0.0037,59266,10084,0.1614,0.8214,0.0463,3.1,14824,21.39999962,61408,9.649999619,34700
Plymouth State University,Public,New England,Remote Town,0.7748,21,965,3986,0.785,0.0171,0.0271,0.0151,0.0025,24828,8065,0.2697,0.5596,0.0541,6.4,21000,19.92000008,83925,4.309999943,33900
Point Loma Nazarene University,Private,Far West,Large City,0.6654,26,1155,2543,0.6433,0.0252,0.195,0.0558,0.013,43060,9653,0.2712,0.7208,0.0243,2.5,20500,21.96999931,78964,8.100000381,43900
Point Park University,Private,Mid-Atlantic,Large City,0.7393,22,997,3164,0.7225,0.1625,0.0322,0.0117,0.0013,36726,7853,0.4194,0.4978,0.2502,11.2,22250,23.86000061,46028,8.720000267,32700
Point University,Private,Southeast,Distant Town,0.5353,20,946,1354,0.3648,0.4114,0.0355,0.0044,0.0037,27497,5482,0.5914,0.4776,0.4663,5.6,19500,21.85000038,56038,7.210000038,27800
Polytechnic Institute of New York University,Private,Mid-Atlantic,Large City,0.7523,30,1303,2078,0.2955,0.064,0.0929,0.3474,0.0029,50199,10047,0.4471,0.5714,0.0538,2.5,21500,19.70000076,35393,14.93999958,62000
Pomona College,Private,Far West,Large Suburb,0.1392,33,1454,1587,0.448,0.0599,0.1474,0.1216,0.0006,57014,12326,0.1686,0.9573,0.0037,,8561,19.37999916,63215,8.569999695,43100
Pontifical Catholic University of Puerto Rico-Mayaguez,Private,Outlying Areas,Small City,0.3056,,,1369,,,0.992,,,9351,3645,0.8242,0.1789,0.2569,26.3,7500,21.39999962,14907,50.31999969,16600
Pontifical Catholic University of Puerto Rico-Ponce,Private,Outlying Areas,Mid-size City,0.6496,,,5926,0.0007,,0.9865,,,11355,4002,0.806,0.3882,0.1281,26.3,7500,21.39999962,14907,50.31999969,16600
Portland State University,Public,Far West,Large City,0.6117,,1045,20085,0.6232,0.0343,0.1009,0.0769,0.0147,19843,8286,0.4019,0.417,0.411,6,18832,24.51000023,29525.5,7.110000134,38200
Prairie View A & M University,Public,Southwest,Distant Town,0.4232,18,845,6731,0.0284,0.8568,0.0588,0.0244,0.0021,16782,7307,0.6541,0.3652,0.118,24.5,17438,20.61000061,34372,12.84000015,30900
Pratt Institute-Main,Private,Mid-Atlantic,Large City,0.5572,26,1140,3247,0.4521,0.0447,0.0986,0.1571,0.0034,54582,9254,0.2622,0.6277,0.0628,6.6,23241,20.88999939,59029,8.239999771,37300
Presbyterian College,Private,Southeast,Distant Town,0.66,25,1121,1069,0.8232,0.1094,0.015,0.014,0.0037,45130,7217,0.2254,0.6759,0.0027,6.2,18797,19.29999924,84599,8.140000343,37800
Princeton University,Private,Mid-Atlantic,Large Suburb,0.0741,33,1495,5234,0.4713,0.0764,0.081,0.2008,0.0008,55430,15711,0.1218,0.9694,0.0041,2.3,7500,20.04000092,50686,6.769999981,66500
Providence College,Private,New England,Mid-size City,0.5979,26,1158,3969,0.7667,0.0411,0.0675,0.0118,0.0013,56184,9471,0.1341,0.8504,0.0689,2.3,27000,19.87999916,110798,4.889999866,52900
Purdue University-Calumet Campus,Public,Great Lakes,Large Suburb,0.6063,,975,7466,0.5742,0.1362,0.1689,0.023,0.002,16727,7937,0.3262,0.3131,0.3737,14.6,16000,23.71999931,33145,8.880000114,34000
Purdue University-Main Campus,Public,Great Lakes,Mid-size Suburb,0.6042,27,1211,30167,0.6766,0.0322,0.0395,0.0482,0.0012,23109,11005,0.2058,0.6994,0.0551,5.1,20500,20.36000061,77728,5.239999771,47500
Purdue University-North Central Campus,Public,Great Lakes,Fringe Rural,0.7218,20,954,3514,0.8224,0.0518,0.0808,0.008,0.0054,13713,6971,0.278,0.2638,0.1743,13.7,12285.5,23.69000053,47378,5.239999771,32800
Queens University of Charlotte,Private,Southeast,Large City,0.7686,24,1058,1703,0.559,0.1767,0.054,0.0299,0.007,40930,4064,0.3274,0.5207,0.2578,5.6,18812.5,25.37000084,45248.5,6.420000076,38100
